"udid","time","count","avg_duration"
"104022502","1474747200","1","25330"
"104019997","1474750800","3","192"
"104021779","1474750800","1","31"
"104022359","1474750800","1","2445"
"104022471","1474750800","4","371"
"104022489","1474750800","1","228"
"104022504","1474750800","2","2677"
"104022511","1474750800","2","11"
"103993408","1474754400","1","4"
"104008781","1474754400","5","2950"
"104019526","1474754400","1","64"
"104021779","1474754400","1","610"
"104022069","1474754400","2","1166"
"104022471","1474754400","4","627"
"104022513","1474754400","1","77979"
"104007312","1474758000","1","1497"
"104016619","1474758000","1","4"
"104022396","1474758000","3","2935"
"104022497","1474758000","1","220"
"104022504","1474758000","4","649"
"104022510","1474758000","1","1862"
"103999650","1474761600","1","3"
"104019010","1474761600","4","28"
"104020281","1474761600","10","1725"
"104021262","1474761600","3","1397"
"104022017","1474761600","1","104"
"104022237","1474761600","5","3859"
"104022519","1474761600","1","65"
"104009608","1474765200","1","330"
"104015489","1474765200","1","526"
"104022480","1474765200","1","48"
"104022520","1474765200","3","73747"
"104022524","1474765200","1","911"
"104000692","1474768800","2","1481"
"104001143","1474768800","4","1093"
"104020767","1474768800","2","698"
"104022333","1474768800","5","6857"
"104022480","1474768800","5","47"
"104022520","1474768800","2","2569"
"104022520","1474772400","1","7"
"103995348","1474772400","1","16"
"104022525","1474772400","2","163"
"104022480","1474776000","1","33"
"104022334","1474776000","1","12"
"104022126","1474776000","1","4"
"104016379","1474776000","1","82"
"104021009","1474779600","1","59"
"104022480","1474779600","3","47"
"104021801","1474779600","5","1075"
"104022105","1474783200","1","27"
"100855167","1474783200","1","134"
"104006437","1474783200","1","47"
"104015862","1474783200","1","246"
"104019815","1474783200","1","972"
"104022069","1474783200","3","1023"
"104022480","1474783200","1","35"
"103983498","1474790400","2","145"
"104021800","1474790400","1","2"
"103973882","1474794000","1","3"
"103995198","1474794000","2","601"
"104022539","1474794000","2","62013"
"103999453","1474797600","1","334"
"104020139","1474797600","1","3"
"104021930","1474797600","4","1534"
"104011460","1474801200","2","298"
"104015952","1474801200","6","1289"
"104019685","1474801200","1","1112"
"104021930","1474801200","2","267"
"104022396","1474801200","1","131"
"104022473","1474801200","5","2064"
"104013656","1474804800","1","1240"
"104017103","1474804800","1","5"
"104022542","1474804800","1","859"
"104022554","1474804800","4","21935"
"103996474","1474808400","1","5"
"104005847","1474808400","1","1"
"104019815","1474808400","2","1229"
"104022489","1474808400","1","3445"
"104022542","1474808400","2","1029"
"104022554","1474808400","2","1858"
"104022558","1474808400","1","62808"
"104018712","1474812000","1","109"
"104022566","1474812000","1","3"
"104001387","1474815600","3","564"
"104021901","1474815600","1","41"
"104022473","1474815600","2","1401"
"104022542","1474815600","1","1009"
"104022546","1474815600","5","1799"
"103978213","1474819200","2","1020"
"104022241","1474819200","1","293"
"104022473","1474819200","2","1823"
"104022542","1474819200","5","1977"
"104022546","1474819200","4","1083"
"104022572","1474819200","1","72"
"104022581","1474819200","1","35695"
"104022094","1474822800","1","8"
"104022241","1474822800","3","320"
"104022344","1474822800","1","1420"
"104022523","1474822800","1","26"
"104022542","1474822800","4","973"
"104022590","1474822800","8","33203"
"103991056","1474826400","2","385"
"103984080","1474826400","2","59"
"104015841","1474826400","1","18"
"104020801","1474826400","1","471"
"104022473","1474826400","1","126"
"104022568","1474826400","2","57376"
"103999221","1474830000","1","620"
"104012689","1474830000","1","1150"
"104022568","1474830000","1","1794"
"104022602","1474830000","1","71421"
"104022613","1474830000","4","4942"
"103972991","1474833600","24","6328"
"103991056","1474833600","1","9"
"104020887","1474833600","1","17"
"104021494","1474833600","1","17"
"104021609","1474833600","1","5"
"104021907","1474833600","1","12"
"104022296","1474833600","1","3419"
"104022617","1474833600","3","11165"
